PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE,Z_PRIME
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of efflux pump,Z prime screening statistics parameter
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6.6,
27,14734790,2964985,CC(C)C(C1=NN=C(N1CC=C)SCCOC2=CC=C(C=C2)OC)NC(=O)C3=CC=C(C=C3)OC,Active,48,,,48.19,0.712
28,14740141,1039936,C1CC1C(=O)C2=C(C3=C(S2)N=C(C=C3C(F)(F)F)C4=CC=CS4)N,Active,42,,,42.29,0.653
29,14741605,1880983,CCCN1C(=O)/C(=C/C2=C(N=C3C(=CC=CN3C2=O)C)NCCCOC(C)C)/SC1=S,Active,62,,,61.54,0.73
30,14741755,135512328,C1=CC=C2C(=C1)C(=C(C(=NC3=CC(=CC=C3)OC(=O)C4=CC=CC=C4[N+](=O)[O-])C2=O)N5C6=CC=CC=C6N=N5)O,Active,46,,,46.04,0.773
31,14741973,135512335,C1=CC=C2C(=C1)C(=C(C(=NC3=CC(=CC=C3)OC(=O)C4=CC(=CC=C4)[N+](=O)[O-])C2=O)N5C6=CC=CC=C6N=N5)O,Active,96,,,96.11,0.789
32,14742165,1262928,CN1C2=CC=CC3=C2C(=C(C1=O)NCCC4=CC=CC=C4)C5=CC=CC=C5C3=O,Active,71,,,70.5,0.89
33,14742829,1814043,CCN(CC)C1=CC=C(C=C1)/C=C/2\C(=O)N3C(=NN=C3S2)C4=CC=CC=C4C,Active,77,,,76.98,0.746
34,14743475,1983406,CCCN1C(=O)/C(=C/C2=C(N=C3C(=CC=CN3C2=O)C)NCCCOCC)/SC1=S,Active,68,,,68.35,0.782
35,14743476,1987067,CCOCCCNC1=C(C(=O)N2C=CC=C(C2=N1)C)/C=C\3/C(=O)N(C(=S)S3)CC(C)C,Active,48,,,48.38,0.743
36,14744491,135512373,CC\1=NC2=CC=CC=C2/C1=C\C3=C(OC(=N3)C4=CC=C(C=C4)C(F)(F)F)O,Active,44,,,44.15,0.765
37,14745121,2313748,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)NC3=C(C=C(C=N3)C(F)(F)F)Cl,Active,100,,,186.89,0.53
38,16953293,72721,CC1=C2C=C(C(=O)C=C2OC3=CC(=C(C=C13)O)O)O,Active,47,,,46.95,0.528
39,17387056,11839273,COCCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4,Active,54,,,54.02,0.743
40,17387063,11839287,COCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4,Active,57,,,56.96,0.793
41,17387304,11948835,CCCN1C(=O)/C(=C/C=C\2/C(C3=CC=CC=C3N2CC)(C)C)/SC1=S,Active,70,,,69.72,0.826
42,17387740,3311028,CC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=C(C(=CC=C3)OC)OC)C(=O)NC4=NC5=CC=CC=C5S4,Active,45,,,44.59,0.806
43,17387926,5285231,CC1=CC=C(C=C1)/C=C/2\CCC3=C2OC(=C(C3C4=CC=C(C=C4)C)C#N)N,Active,56,,,56.25,0.736
44,17387979,5400800,CCCN1C(=O)/C(=C/C2=CC(=C(C=C2)N3CCCC3)C)/NC1=S,Active,52,,,52.26,0.833
45,17388272,1434724,CC1=C(N2C(=CC(=N2)C3=CC(=CC=C3)F)N=C1C)N4CCN(CC4)C(=O)C5=CC=CO5,Active,63,,,63.37,0.676
46,17401132,9512005,C1COCCN1C2=CC=C(O2)/C=C\3/C(=O)N(C(=NC4=CC=CC=C4)S3)CCC5=CNC6=CC=CC=C65,Active,81,,,81.17,0.734
47,17412468,1352154,CC1=CC(=NC=C1)N/C=C(\C#N)/C2=NC(=CS2)C3=CC(=CC=C3)Br,Active,47,,,46.75,0.78
